ID,Date,Element,Data_Value
CA006116679,2014-01-22,TMAX,-160
CA006111467,2005-05-20,TMAX,205
CA006114979,2015-04-28,TMAX,150
CA006147229,2006-03-01,TMIN,-145
CA006147229,2005-05-12,TMIN,-25
CA006147229,2005-12-01,TMAX,-5
CA006111467,2009-08-11,TMAX,255
CA006127890,2006-12-12,TMAX,85
CA006119500,2006-02-22,TMIN,-93
CA006114979,2007-07-12,TMAX,180
CA006114979,2005-10-26,TMIN,30
CA006116132,2007-10-02,TMAX,210
CA006111467,2006-11-19,TMAX,5
CA006111467,2011-05-17,TMIN,70
CA006119500,2005-12-25,TMAX,30
CA006111467,2011-12-13,TMIN,-10
CA006111467,2006-11-19,TMIN,-10
CA006111467,2013-02-19,TMIN,-35
CA006127890,2005-09-24,TMAX,215
CA006114979,2006-12-09,TMAX,-15
CA006119274,2005-06-04,TMIN,130
CA006119500,2006-02-22,TMAX,15
CA006119500,2012-11-26,TMIN,-43
CA006111467,2006-06-23,TMAX,210
CA006116132,2007-11-30,TMIN,-40
CA006111467,2009-08-11,TMIN,140
CA006114979,2015-04-28,TMIN,0
CA006127890,2009-07-23,TMIN,170
CA006111467,2011-05-17,TMAX,160
CA006119500,2013-06-12,TMAX,219
CA006116679,2012-09-22,TMIN,70
CA006147229,2005-12-01,TMIN,-25
CA006127890,2006-07-17,TMAX,325
CA006119500,2012-08-27,TMAX,236
CA006114979,2011-10-28,TMAX,45
CA006119500,2008-06-14,TMAX,229
CA006116679,2013-11-12,TMAX,-40
CA006119500,2008-06-14,TMIN,165
CA006111467,2006-03-19,TMAX,-10
CA006119500,2005-08-05,TMIN,122
CA006114979,2012-09-01,TMIN,85
CA006119500,2011-08-17,TMAX,268
CA006127890,2009-02-12,TMAX,10
CA006111467,2012-08-17,TMIN,145
CA006119500,2007-01-12,TMAX,49
CA006119500,2005-02-11,TMAX,-5
CA006127890,2005-06-18,TMAX,195
CA006127890,2005-02-07,TMIN,25
CA006111467,2005-02-07,TMIN,20
